Date,Product,Region,Sales,Quantity,Profit
2024-06-23,Monitor,West,2095.55,6,413.12
2024-06-27,Headphones,North,643.02,4,191.83
2024-07-02,Laptop,East,5366.98,5,454.38
2024-07-05,Monitor,West,2181.87,6,522.15
2024-07-09,Keyboard,North,439.68,5,129.37
2024-07-12,Mouse,South,186.79,4,47.63
2024-07-16,Headphones,East,452.72,3,99.20
2024-07-19,Laptop,West,5972.94,5,218.52
2024-07-23,Monitor,North,1424.33,4,330.93
2024-07-27,Headphones,South,,8,382.69
2024-08-02,Laptop,West,6156.03,6,478.65
2024-08-05,Monitor,North,1953.37,5,429.08
2024-08-09,Keyboard,South,396.58,5,88.64
2024-08-12,Mouse,East,286.50,6,86.55
2024-08-16,Headphones,West,686.61,4,139.69
2024-08-19,Laptop,North,5462.15,5,1067.05
2024-08-23,Monitor,South,320.18,1,61.56
2024-08-27,Headphones,East,426.06,3,115.55
2024-09-02,Laptop,North,4732.99,4,503.44
2024-09-05,Monitor,South,1395.34,4,407.93
2024-09-09,Keyboard,East,419.19,5,112.47
2024-09-12,Mouse,West,283.82,5,81.00
2024-09-16,Headphones,North,3843.99,5,860.42
2024-09-19,Laptop,South,3754.27,4,508.89
2024-09-23,Monitor,East,1664.25,5,189.92
2024-09-27,Headphones,West,660.51,4,163.99
2024-10-02,Laptop,South,3641.30,4,383.70
2024-10-05,Monitor,East,1669.34,5,244.09
2024-10-09,Keyboard,West,640.27,7,181.10
2024-10-12,Mouse,North,196.46,4,60.47
2024-10-16,Headphones,South,1074.86,7,223.08
2024-10-19,Laptop,East,5490.03,5,539.26
2024-10-23,Monitor,West,1924.94,5,364.46
2024-10-27,Headphones,North,1004.34,6,278.50
2024-11-02,Laptop,East,5691.35,5,1020.37
2024-11-05,Monitor,West,2423.85,6,477.07
2024-11-09,Keyboard,North,376.16,4,121.38
2024-11-12,Mouse,South,276.69,6,95.81
2024-11-16,Headphones,East,1150.57,7,231.49
2024-11-19,Laptop,West,4337.65,4,874.90
2024-11-23,Monitor,North,2813.39,7,455.02
2024-11-27,Headphones,South,845.88,6,241.93
2024-12-02,Laptop,West,7992.94,7,1066.55
2024-12-05,Monitor,North,2704.59,7,531.83
2024-12-09,Keyboard,South,383.17,5,120.70
2024-12-12,Mouse,East,275.79,5,108.74
2024-12-16,Headphones,West,350.57,2,68.22
2024-12-19,Laptop,North,6641.12,6,737.82
2024-12-23,Monitor,South,2205.35,7,202.47
2024-12-27,Headphones,East,740.39,5,125.53
2023-02-16,Headphones,South,355.65,3,84.61
2023-11-12,Mouse,South,355.98,8,102.33
2024-10-12,Mouse,North,196.46,4,60.47
